,0,1
cAMP_Ca_delay,50.0,
cAMP_delay,400.0,
ca_in,2.5e-08,
k57,,15.0
k58,1.7,1.7
kcat1,3.0,3.0
kcat10,24.0,24.0
kcat11,3.0,
kcat12,2.7,
kcat13,3.0,3.0
kcat14,3.0,
kcat15,10.0,
kcat16,24.0,
kcat17,4.0,
kcat18,3.0,
kcat19,0.03,
kcat2,3.0,3.0
kcat20,3.0,
kcat21,0.0,
kcat22,10.0,
kcat23,24.0,
kcat24,3.0,
kcat25,10.0,
kcat26,24.0,
kcat27,0.03,0.03
kcat28,3.0,
kcat29,6.0,6.0
kcat3,2.7,2.7
kcat30,1.0,1.0
kcat31,9.0,9.0
kcat32,0.1,0.1
kcat33,4.0,4.0
kcat34,5.0,5.0
kcat4,3.0,
kcat44,10.0,10.0
kcat45,20.0,20.0
kcat46,10.0,
kcat47,10.0,
kcat48,10.0,
kcat49,10.0,
kcat5,3.0,
kcat50,24.0,
kcat51,24.0,
kcat52,24.0,
kcat53,24.0,
kcat55,4.0,
kcat56,5.0,
kcat6,4.0,4.0
kcat7,3.0,
kcat8,0.0,0.0
kcat9,10.0,10.0
koff1,12.0,12.0
koff10,40.0,40.0
koff11,12.0,
koff12,10.8,
koff13,12.0,12.0
koff14,12.0,
koff15,24.0,
koff16,40.0,
koff17,1600.0,1600.0
koff18,12.0,
koff19,0.12,0.12
koff2,12.0,12.0
koff20,12.0,
koff21,10.8,
koff22,24.0,
koff23,40.0,
koff24,12.0,
koff25,24.0,
koff26,40.0,
koff27,120.0,120.0
koff28,12.0,
koff29,24.0,24.0
koff3,10.8,10.8
koff31,36.0,36.0
koff33,16.0,16.0
koff35,1.0,1.0
koff36,1.0,1.0
koff37,33.0,
koff38,33.0,33.0
koff39,110.0,110.0
koff4,12.0,
koff40,32.5,32.5
koff41,60.0,60.0
koff44,40.0,40.0
koff45,80.0,80.0
koff46,6.0,6.0
koff47,6.0,
koff48,6.0,
koff49,6.0,
koff5,12.0,
koff50,10.0,10.0
koff51,10.0,
koff52,10.0,
koff53,10.0,
koff54,1.0,1.0
koff55,16.0,
koff56,1.0,
koff6,16.0,16.0
koff7,12.0,
koff8,10.8,
koff9,24.0,24.0
kon1,5600000.0,5600000.0
kon10,17000000.0,17000000.0
kon11,5600000.0,
kon12,5600000.0,
kon13,7500000.0,7500000.0
kon14,4400000.0,
kon15,3800000.0,
kon16,17000000.0,
kon17,10000000.0,10000000.0
kon18,5600000.0,
kon19,75000.0,75000.0
kon2,4400000.0,4400000.0
kon20,7500000.0,
kon21,5600000.0,
kon22,3800000.0,
kon23,17000000.0,
kon24,7500000.0,
kon25,3800000.0,
kon26,17000000.0,
kon27,75000.0,
kon28,7500000.0,
kon29,30000000.0,30000000.0
kon3,5600000.0,5600000.0
kon31,6000000.0,6000000.0
kon33,10000000.0,10000000.0
kon35,1e+15,1e+15
kon36,3e+15,3e+15
kon37,54000000.0,
kon38,54000000.0,54000000.0
kon39,75000000.0,75000000.0
kon4,5600000.0,
kon40,75000000.0,
kon41,18000000.0,18000000.0
kon42,18000000.0,
kon43,60.0,
kon44,2520000.0,2520000.0
kon45,5040000.0,5040000.0
kon46,3800000.0,
kon47,3800000.0,
kon48,3800000.0,
kon49,3800000.0,
kon5,4400000.0,
kon50,17000000.0,
kon51,17000000.0,
kon52,17000000.0,
kon53,17000000.0,
kon54,200000.0,200000.0
kon55,10000000.0,
kon56,200000.0,
kon6,10000000.0,10000000.0
kon7,4400000.0,
kon8,5600000.0,
kon9,3800000.0,3800000.0
kon_high,6.6e-06,
kon_low,2.5e-08,
spike_duration,2.0,
spike_interval,2.0,
